Image,H-alpha,H-beta,Optimal Shift
0,6441.950796069508,4650.969123577728,172.16840276048148
1,6447.9565809393,4673.406949163008,156.72263447163598
2,6461.377517191172,4679.000665438788,147.79834018401257
3,6468.778502464767,4698.529091024317,133.43020548906625
4,6489.291917627652,4731.826954653925,105.57232474303068
5,6495.096228954531,4731.826954653925,103.10243798107732
6,6496.543371756116,4737.354562423437,99.31114738818911
7,6496.543371756116,4740.116005290111,97.72481141848267
8,6497.988940545648,4742.875874144733,95.52412000528972
9,6503.755475583232,4753.8996094426775,86.73840750261617
10,6508.063849734853,4764.898160547757,78.58546835176197
11,6516.638099712636,4781.3487668437565,65.48635300064394
12,6525.155685256477,4789.552820829027,57.14884967815532
13,6535.0212508425,4811.361041592708,40.42237577799061
14,6529.393228865667,4814.079986133925,41.25515448607365
15,6533.616606366372,4816.797356663087,37.896971566593336
16,6542.020863042325,4816.797356663087,34.320908317197464
17,6537.825817758592,4819.513153180197,34.54565620260732
18,6537.825817758592,4814.079986133925,37.66701439928508
19,6544.809689837876,4819.513153180197,31.573964927552954
20,6539.225740198557,4816.797356663087,35.51019564342484
21,6546.201742217572,4835.774878029716,21.639424090882535
22,6550.368455284333,4849.283030072831,12.106118469192793
23,6550.368455284333,4851.979938445293,10.556818651262367
24,6565.525204267632,4854.675272805699,2.5590460095507237
25,6565.525204267632,4876.181283255011,-9.796067348895363
26,6629.4349442172,4979.580502147917,-96.3921986634863
27,6634.597058626048,5010.913998734132,-116.58947119898191
28,6637.168671758147,5013.5148923713,-119.17795646495394
29,6639.733988842031,5010.913998734132,-118.77535728189072
30,6647.392163804388,5016.114211996413,-125.021496768573
31,6634.597058626048,5000.4946840649245,-110.6037213848294
32,6637.168671758147,5013.5148923713,-119.17795646495394
