Image,H-alpha,Na,H-beta,Optimal Shift
0,6622.9468859349245,5997.554685839748,4958.565583459453,-88.30843398426828
1,6625.546831283997,6001.379212566832,4958.565583459453,-90.28733501748907
2,6634.597058626048,6001.379212566832,4969.085634900117,-97.00124245885446
3,6635.883652198125,6005.197443245699,4963.828757203893,-96.55089898685466
4,6641.014286365893,5984.119260915253,4900.255133088357,-66.47551399382161
5,6637.168671758147,6005.197443245699,4955.931635569152,-93.8434606807161
6,6637.168671758147,6009.009377876351,4945.380103887408,-90.95658449672183
7,6639.733988842031,5939.431259147568,4969.085634900117,-78.57116583986516
8,6637.168671758147,6003.289114912293,4974.336216548125,-100.40582536370776
9,6634.597058626048,6010.912984173597,4969.085634900117,-100.06621061150874
10,6634.597058626048,6007.104197567052,4910.913697589773,-76.16601963943062
11,6635.883652198125,6012.815016458788,4966.457983058032,-100.0246031618922
12,6634.597058626048,6012.815016458788,4955.931635569152,-95.55066887139242
13,6641.014286365893,5999.467736209317,4974.336216548125,-100.28741481293297
14,6644.845734865152,5919.741981172709,4857.369033154053,-30.16876901038204
15,6642.2930098777,5919.741981172709,4955.931635569152,-67.85443952930291
16,6642.2930098777,6012.815016458788,4916.233535768157,-82.29595594473909
17,6644.845734865152,5919.741981172709,4940.094893974211,-62.41745124125282
18,6648.663017255925,5999.467736209317,4950.659017752388,-93.2652791309284
19,6649.932296695408,5995.640061458125,4789.552820829027,-29.59906233636288
20,6649.932296695408,5790.003341589732,4892.244682585728,-3.5287850126869538
21,6651.200002122837,5911.822197645251,4953.296113666796,-66.8523048438497
22,6649.932296695408,5921.717992024437,4878.862451506933,-40.65232452230333
23,6651.200002122837,5929.606295310813,4932.155274014013,-64.32779580764485
24,6656.2550837120125,6001.379212566832,4913.574403684992,-81.61553324245422
25,6656.2550837120125,5993.723863064448,4905.587563363173,-76.04087338003413
26,6649.932296695408,6010.912984173597,4873.498540991037,-67.23218729911252
27,6649.932296695408,5869.830155961932,4950.659017752388,-51.960323035486546
28,6651.200002122837,5873.859304256037,4950.659017752388,-53.621322212164976
29,6649.932296695408,6009.009377876351,4921.5470778983245,-85.34975087434127
30,6654.9936743328,5893.910605003316,4884.220065974613,-35.26344144195072
31,6654.9936743328,6005.197443245699,4963.828757203893,-102.06818178822391
32,6661.284981108324,5941.391529878757,4894.916406765325,-56.511844236762705
33,6660.029867777328,5958.963135917028,4797.742708705813,-23.917320689430145
34,6652.466133538212,5785.8451243072,4916.233535768157,-12.275097001342319
35,6652.466133538212,6010.912984173597,4910.913697589773,-82.54934006876672
36,6648.663017255925,5897.901977008124,4800.4695233073,-2.070522610238182
37,6644.845734865152,6012.815016458788,4881.5420457468,-69.5094954217592
38,6647.392163804388,6009.009377876351,4910.913697589773,-80.47208289932694
39,6652.466133538212,5785.8451243072,4797.742708705813,33.9159077421844
40,6652.466133538212,5881.898712699596,4910.913697589773,-41.07801745325712
41,6647.392163804388,5995.640061458125,4916.233535768157,-78.24866660829623
42,6652.466133538212,5933.541002881677,4814.079986133925,-19.930110181286725
43,6647.392163804388,6007.104197567052,4878.862451506933,-67.36542133896934
44,6647.392163804388,5927.6365805073,4884.220065974613,-43.90885801082947
45,6647.392163804388,5949.216872682973,4918.891093839267,-64.361480513396
46,6647.392163804388,5783.763654647853,4892.244682585728,-0.7899586893952025
47,6649.932296695408,5995.640061458125,4797.742708705813,-32.791476868297586
48,6649.932296695408,5877.882156501924,4894.916406765325,-32.817873350399346
49,6647.392163804388,5925.665291691732,4886.896512190371,-44.31878128586493
50,6646.119736340797,5901.8870529647165,4902.922135231792,-42.55554091325777
51,6654.9936743328,6010.912984173597,4884.220065974613,-72.87365791223975
52,6648.663017255925,5901.8870529647165,4902.922135231792,-43.289855892745514
53,6653.730690941533,5881.898712699596,4932.155274014013,-49.7234340221358
54,6651.200002122837,5991.806090658716,4921.5470778983245,-80.1859601919007
55,6652.466133538212,5905.865832873093,4886.896512190371,-39.41971009305749
56,6653.730690941533,5792.080089212917,4961.197957337699,-32.17287451506144
57,6654.9936743328,5927.6365805073,4929.505586003172,-63.75730228590201
58,6652.466133538212,6010.912984173597,4969.085634900117,-105.2250051187237
