Image,H-alpha,H-beta,Optimal Shift
0,6601.920665406573,4865.440870126788,-19.112132431145266
1,6593.931947912877,4868.128334426925,-17.256744139421187
2,6604.570979141373,4868.128334426925,-21.783550955863372
3,6596.601149792325,4851.979938445293,-9.115268350943545
4,6589.9163400033,4876.181283255011,-20.174343389594224
5,6603.24660928,4857.369033154053,-15.039133263048619
6,6601.920665406573,4870.814224715008,-22.199110639027722
7,6589.9163400033,4851.979938445293,-6.270997925194865
8,6604.570979141373,4870.814224715008,-23.32694494692943
9,6589.9163400033,4870.814224715008,-17.091027912559216
10,6589.9163400033,4862.751831814596,-12.459357655216207
11,6589.9163400033,4868.128334426925,-15.548129984626598
12,6589.9163400033,4870.814224715008,-17.091027912559216
13,6600.593147521093,4868.128334426925,-20.091208302211456
14,6589.9163400033,4865.440870126788,-14.004430077223697
15,6589.9163400033,4870.814224715008,-17.091275944125936
16,6601.920665406573,4868.128334426925,-20.65613823909427
17,6604.570979141373,4865.440870126788,-20.239660870082364
18,6589.9163400033,4862.751831814596,-12.459357655216207
19,6589.9163400033,4854.675272805699,-7.819485453301861
20,6589.9163400033,4851.979938445293,-6.270940087995263
21,6589.9163400033,4865.440870126788,-14.004182045656977
22,6589.9163400033,4865.440870126788,-14.004430077223697
23,6589.9163400033,4870.814224715008,-17.091275944125936
24,6589.9163400033,4865.440870126788,-14.004239898845608
25,6607.214996827956,4870.814224715008,-24.451802797076713
26,6600.593147521093,4870.814224715008,-21.63441211489941
27,6589.9163400033,4876.181283255011,-20.174343389594224
28,6589.9163400033,4865.440870126788,-14.004182045656977
29,6589.9163400033,4854.675272805699,-7.819485453301861
30,6589.9163400033,4854.675272805699,-7.819485453301861
31,6589.9163400033,4873.498540991037,-18.633371908379015
32,6589.9163400033,4838.479656462448,1.4849058785444347
33,6589.9163400033,4846.584547688317,-3.17135338573311
34,6589.9163400033,4860.061219490352,-10.913789138493765
35,6589.9163400033,4857.369033154053,-9.366980432356218
36,6589.9163400033,4857.369033154053,-9.366980432356218
37,6589.9163400033,4865.440870126788,-14.004182045656977
38,6589.9163400033,4862.751831814596,-12.459415492614076
39,6589.9163400033,4862.751831814596,-12.459357655216207
40,6589.9163400033,4860.061219490352,-10.913789138493765
41,6589.9163400033,4857.369033154053,-9.366980432356218
42,6589.9163400033,4862.751831814596,-12.459357655216207
43,6589.9163400033,4854.675272805699,-7.819485453301861
44,6592.594985955071,4841.182860883125,-1.2079928840781022
45,6589.9163400033,4851.979938445293,-6.270997925194865
46,6589.9163400033,4851.979938445293,-6.270997925194865
47,6589.9163400033,4849.283030072831,-4.721708937028982
48,6589.9163400033,4846.584547688317,-3.17135338573311
49,6589.9163400033,4843.884491291748,-1.6200800338177583
50,6589.9163400033,4849.283030072831,-4.72151875830603
51,6589.9163400033,4854.675272805699,-7.819485453301861
52,6589.9163400033,4857.369033154053,-9.366980432356218
53,6591.256449985212,4851.979938445293,-6.841343886917469
54,6595.267335858627,4846.584547688317,-5.448444260792892
55,6592.594985955071,4849.283030072831,-5.861523539708489
56,6591.256449985212,4843.884491291748,-2.1902353923622964
57,6591.256449985212,4849.283030072831,-5.291864277790582
58,6593.931947912877,4857.369033154053,-11.075652440339425
59,6593.931947912877,4860.061219490352,-12.62246114647698
60,6593.931947912877,4854.675272805699,-9.528157461108831
61,6596.601149792325,4851.979938445293,-9.115516382510267
62,6593.931947912877,4934.8033880128,-55.561197736637965
63,6589.9163400033,4841.182860883125,-0.06817824563352289
64,6593.931947912877,4843.884491291748,-3.328751884610467
65,6591.256449985212,4857.369033154053,-9.937383840426644
66,6585.886565985237,4849.283030072831,-3.006819515986233
67,6587.231398003312,4851.979938445293,-5.128570602439727
68,6589.9163400033,4849.283030072831,-4.721708937028982
69,6585.886565985237,4841.182860883125,1.6465211436882536
70,6583.192179912925,4833.068525584932,7.4546501328539065
71,6584.540159955108,4846.584547688317,-0.8837702117290201
72,6583.192179912925,4846.584547688317,-0.31020015282662655
73,6587.231398003312,4838.479656462448,2.6273332525863027
74,6591.256449985212,4833.068525584932,4.023208843283069
75,6585.886565985237,4838.479656462448,3.1997209581672506
76,6579.138795714052,4918.891093839267,-40.124920680344616
77,6577.784519623652,4816.797356663087,19.103434423264247
78,6580.491497792396,4824.940024178252,13.273577100497826
79,6587.231398003312,4835.774878029716,4.18097117836192
80,6587.231398003312,4841.182860883125,1.0741912753069067
81,6583.192179912925,4843.884491291748,1.240957507774611
82,6584.540159955108,4838.479656462448,3.7722409033079862
83,6587.231398003312,4830.360599128093,7.291604478924914
84,6588.574656009333,4841.182860883125,0.5028535646493906
85,6585.886565985237,4921.5470778983245,-44.52229947181038
86,6591.256449985212,4843.884491291748,-2.1904834239510462
87,6587.231398003312,4849.283030072831,-3.579339435807253
88,6593.931947912877,4846.584547688317,-4.880157529674483
89,6589.9163400033,4841.182860883125,-0.06817824563352289
90,6589.9163400033,4843.884491291748,-1.6200800338177583
91,6591.256449985212,4835.774878029716,2.4684464133408097
92,6588.574656009333,4849.283030072831,-4.150734981511187
93,6584.540159955108,4824.940024178252,11.550808069656084
94,6579.138795714052,4830.360599128093,10.734968046621647
95,6584.540159955108,4841.182860883125,2.2195372696362496
96,6583.192179912925,4833.068525584932,7.454402101265156
97,6588.574656009333,4854.675272805699,-7.248701656607342
98,6595.267335858627,4862.751831814596,-14.736258577194969
99,6592.594985955071,4851.979938445293,-7.411061037267043
