Image,H-alpha,H-beta,Optimal Shift
0,6589.9163400033,4932.155274014013,-52.3310799318156
1,6591.256449985212,4961.197957337699,-69.5854760578101
2,6591.256449985212,4997.885920367487,-90.66246133834709
3,6592.594985955071,4963.828757203893,-71.66675774200789
4,6595.267335858627,4945.380103887408,-62.20486004626103
5,6595.267335858627,4961.197957337699,-71.29278074727328
6,6596.601149792325,4992.663670936452,-89.93657023805282
7,6599.2640556235565,4974.336216548125,-80.541102216609
8,6603.24660928,4963.828757203893,-76.19948728927433
9,6600.593147521093,4822.227375685252,6.2788087429932675
10,6601.920665406573,4958.565583459453,-72.61154234650016
11,6600.593147521093,4961.197957337699,-73.5582322445722
12,6600.593147521093,4950.659017752388,-67.504160480285
13,6597.933389713968,4950.659017752388,-66.37254433571336
14,6595.267335858627,4950.659017752388,-65.23787305543794
15,6595.267335858627,4934.8033880128,-56.12883423181434
16,6595.267335858627,5003.101873750307,-95.36614802430215
17,6593.931947912877,4971.711712730147,-76.76410577236139
18,6592.594985955071,4961.197957337699,-70.15521279505916
19,6593.931947912877,4997.885920367487,-91.8011791326852
20,6591.256449985212,4966.457983058032,-72.60757393446217
21,6592.594985955071,4979.580502147917,-80.71618547786213
22,6592.594985955071,4950.659017752388,-64.10121751196739
23,6591.256449985212,4948.020347825925,-62.01473749405633
24,6591.256449985212,4940.094893974211,-57.4623993679246
25,6593.931947912877,4932.155274014013,-54.03945675948441
26,6593.931947912877,4958.565583459453,-69.21157791833875
27,6592.594985955071,4934.8033880128,-54.992178801821844
28,6592.594985955071,4900.255133088357,-35.1443371675603
29,6595.267335858627,4955.931635569152,-68.26679342819867
30,6597.933389713968,4974.336216548125,-79.97434175980038
31,6597.933389713968,4984.818491699492,-85.99647462392943
32,6599.2640556235565,4955.931635569152,-69.96731102135762
33,6600.593147521093,4966.457983058032,-76.580251265961
34,6600.593147521093,4921.5470778983245,-50.77969214687821
35,6601.920665406573,4929.505586003172,-55.917043090925155
36,6603.24660928,4976.959146354047,-83.74217291128899
37,6604.570979141373,4953.296113666796,-70.71213101985987
38,6603.24660928,4987.435125457199,-89.76049495955434
39,6604.570979141373,4937.4499279995325,-61.60809963141677
40,6601.920665406573,4953.296113666796,-69.58448404056472
41,6600.593147521093,4955.931635569152,-70.5330793465686
42,6603.24660928,4955.931635569152,-71.66187605363552
43,6605.893774990692,4984.818491699492,-89.38362053964246
44,6603.24660928,4955.931635569152,-71.66187605363552
45,6599.2640556235565,4963.828757203893,-74.5049222569964
46,6607.214996827956,4924.201487945327,-55.12138881390149
47,6612.484144056476,4969.085634900117,-83.14953886379382
48,6611.169218267428,4963.828757203893,-79.5706017319565
49,6609.852718466325,4948.020347825925,-69.92854017731152
50,6608.534644653168,4948.020347825925,-69.36773239573601
51,6605.893774990692,4958.565583459453,-74.30206011147689
52,6605.893774990692,4958.565583459453,-74.30213896674017
53,6604.570979141373,4990.050185202853,-91.82582402598453
54,6603.24660928,4948.020347825925,-67.11736471604436
55,6599.2640556235565,4971.711712730147,-79.03360453696153
56,6599.2640556235565,4846.584547688317,-7.147957454046532
57,6600.593147521093,4961.197957337699,-73.5581535036612
58,6600.593147521093,4940.094893974211,-61.43515819471554
59,6604.570979141373,4966.457983058032,-78.27283203504386
60,6605.893774990692,4958.565583459453,-74.30213896674017
61,6608.534644653168,4934.8033880128,-61.77425412565209
62,6605.893774990692,4987.435125457199,-90.88722866251513
63,6607.214996827956,4971.711712730147,-82.41662433011005
64,6607.214996827956,4958.565583459453,-74.86393876556092
65,6605.893774990692,4971.711712730147,-81.85375343007624
66,6603.24660928,4963.828757203893,-76.19940843401113
67,6600.593147521093,4921.5470778983245,-50.77969214687821
68,6599.2640556235565,4955.931635569152,-69.96731102135762
69,6595.267335858627,4937.4499279995325,-57.64930914825757
70,6596.601149792325,4953.296113666796,-67.32022699607072
71,6597.933389713968,4940.094893974211,-60.30338448515677
72,6601.920665406573,4974.336216548125,-81.67081220001023
73,6603.24660928,4966.457983058032,-77.7089692321169
74,6603.24660928,4974.336216548125,-82.2336829856918
75,6601.920665406573,5008.311531084912,-101.18954486547634
76,6600.593147521093,4987.435125457199,-88.6318558486617
77,6600.593147521093,4926.854323980277,-53.82873647207018
78,6599.2640556235565,4913.574403684992,-45.63356999858009
79,6600.593147521093,4940.094893974211,-61.43515819471554
80,6600.593147521093,4990.050185202853,-90.13347970833914
81,6600.593147521093,4984.818491699492,-87.12824772578905
82,6599.2640556235565,4932.155274014013,-56.308799307346106
83,6601.920665406573,4979.580502147917,-84.68398112098865
84,6603.24660928,4963.828757203893,-76.19948728927433
85,6601.920665406573,4926.854323980277,-54.393513059221725
86,6600.593147521093,4974.336216548125,-81.10579955495925
87,6603.24660928,4971.711712730147,-80.72809071397629
88,6603.24660928,4958.565583459453,-73.17532640851611
89,6604.570979141373,4953.296113666796,-70.71213101985987
90,6608.534644653168,4953.296113666796,-72.39868037279852
91,6607.214996827956,4932.155274014013,-59.69182135812344
92,6609.852718466325,4934.8033880128,-62.335062294956856
93,6605.893774990692,4953.296113666796,-71.27500180554144
94,6605.893774990692,4937.4499279995325,-62.171049719118386
95,6607.214996827956,4963.828757203893,-77.88786308052946
96,6605.893774990692,4905.587563363173,-43.86741478579922
97,6605.893774990692,4948.020347825925,-68.24389623230473
98,6605.893774990692,4958.565583459453,-74.30206011147689
99,6608.534644653168,4992.663670936452,-95.01506833981374
