Wavelength(A),Weight
3.400000000000000000e+03,1.642013088835742263e+00
3.400385038503850410e+03,1.642077048552873508e+00
3.400770077007700820e+03,1.642141008270004532e+00
3.401155115511551230e+03,1.642204986895398733e+00
3.401540154015401640e+03,1.642268993547934430e+00
3.401925192519252050e+03,1.642333000200469906e+00
3.402310231023102460e+03,1.642401190347760442e+00
3.402695269526952870e+03,1.642470389281020182e+00
3.403080308030803280e+03,1.642540266067238797e+00
3.403465346534653690e+03,1.642612714980438815e+00
3.403850385038503646e+03,1.642685163893638833e+00
3.404235423542354056e+03,1.642757645349266271e+00
3.404620462046204466e+03,1.642830147486062486e+00
3.405005500550054876e+03,1.642902756829146327e+00
3.405390539053905286e+03,1.642982763406071633e+00
3.405775577557755696e+03,1.643062769982996718e+00
3.406160616061606106e+03,1.643143271255985916e+00
3.406545654565456516e+03,1.643224463748133024e+00
3.406930693069306926e+03,1.643305656240280133e+00
3.407315731573157336e+03,1.643387705356810224e+00
3.407700770077007746e+03,1.643469942512838955e+00
3.408085808580858156e+03,1.643553794256861211e+00
3.408470847084708566e+03,1.643643276359015415e+00
3.408855885588558976e+03,1.643732758461169396e+00
3.409240924092409387e+03,1.643822281771456728e+00
3.409625962596259797e+03,1.643911829731358187e+00
3.410011001100110207e+03,1.644001462157727689e+00
3.410396039603960617e+03,1.644093966444005961e+00
3.410781078107810572e+03,1.644186470730284233e+00
3.411166116611660982e+03,1.644281105303935675e+00
3.411551155115511392e+03,1.644378547342403518e+00
3.411936193619361802e+03,1.644475989380871139e+00
3.412321232123212212e+03,1.644573491317236735e+00
3.412706270627062622e+03,1.644671005151129739e+00
3.413091309130913032e+03,1.644769687711864714e+00
3.413476347634763442e+03,1.644872129911958858e+00
3.413861386138613852e+03,1.644974572112052780e+00
3.414246424642464262e+03,1.645078932122331583e+00
3.414631463146314672e+03,1.645184370900839577e+00
3.415016501650165083e+03,1.645289813012492885e+00
3.415401540154015493e+03,1.645395329564390163e+00
3.415786578657865903e+03,1.645500846116287663e+00
3.416171617161716313e+03,1.645609300893373206e+00
3.416556655665566723e+03,1.645721409617166842e+00
3.416941694169417133e+03,1.645833518340960477e+00
3.417326732673267543e+03,1.645946478466683738e+00
3.417711771177117498e+03,1.646059590526084637e+00
3.418096809680967908e+03,1.646172939770184973e+00
3.418481848184818318e+03,1.646286995177822510e+00
3.418866886688668728e+03,1.646401050585460046e+00
3.419251925192519138e+03,1.646518989071050321e+00
3.419636963696369548e+03,1.646638979313986839e+00
3.420022002200219958e+03,1.646758974623797833e+00
3.420407040704070369e+03,1.646879053537036564e+00
3.420792079207920779e+03,1.646999132450275294e+00
3.421177117711771189e+03,1.647120238438487982e+00
3.421562156215621599e+03,1.647242550123409366e+00
3.421947194719472009e+03,1.647364861808330527e+00
3.422332233223322419e+03,1.647490269399348506e+00
3.422717271727172829e+03,1.647616169054911373e+00
3.423102310231023239e+03,1.647742093459230395e+00
3.423487348734873649e+03,1.647868086255272591e+00
3.423872387238724059e+03,1.647994079051314564e+00
3.424257425742574469e+03,1.648121742527109745e+00
3.424642464246424424e+03,1.648250234203123998e+00
3.425027502750274834e+03,1.648378832835241337e+00
3.425412541254125244e+03,1.648508821896694121e+00
3.425797579757975655e+03,1.648638810958146905e+00
3.426182618261826065e+03,1.648768845680343542e+00
3.426567656765676475e+03,1.648898931014449065e+00
3.426952695269526885e+03,1.649029016348554366e+00
3.427337733773377295e+03,1.649160978927019405e+00
3.427722772277227705e+03,1.649293204441990790e+00
3.428107810781078115e+03,1.649425532673360006e+00
3.428492849284928525e+03,1.649558125032609457e+00
3.428877887788778935e+03,1.649690717391858907e+00
3.429262926292629345e+03,1.649823490772609702e+00
3.429647964796479755e+03,1.649956348226107705e+00
3.430033003300330165e+03,1.650089305369786485e+00
3.430418041804180575e+03,1.650223325875391556e+00
3.430803080308030985e+03,1.650357346380996626e+00
3.431188118811881395e+03,1.650491415471389445e+00
3.431573157315731351e+03,1.650625535419542711e+00
3.431958195819581761e+03,1.650759655367696199e+00
3.432343234323432171e+03,1.650894096316714021e+00
3.432728272827282581e+03,1.651028576361991185e+00
3.433113311331132991e+03,1.651163207058884419e+00
3.433498349834983401e+03,1.651298199027129154e+00
3.433883388338833811e+03,1.651433190995373890e+00
3.434268426842684221e+03,1.651568252869600961e+00
3.434653465346534631e+03,1.651703345112820021e+00
3.435038503850385041e+03,1.651838505790102385e+00
3.435423542354235451e+03,1.651974282373950720e+00
3.435808580858085861e+03,1.652110058957799055e+00
3.436193619361936271e+03,1.652246052136555177e+00
3.436578657865786681e+03,1.652382259448912816e+00
3.436963696369637091e+03,1.652518466761270677e+00
3.437348734873487501e+03,1.652654765813989846e+00
3.437733773377337911e+03,1.652791074416967376e+00
3.438118811881188321e+03,1.652927499055276250e+00
3.438503850385038277e+03,1.653064183698679024e+00
3.438888888888888687e+03,1.653200868342081797e+00
3.439273927392739097e+03,1.653337649296277245e+00
3.439658965896589507e+03,1.653474469316296158e+00
3.440044004400439917e+03,1.653611294319664138e+00
3.440429042904290327e+03,1.653748157943988106e+00
3.440814081408140737e+03,1.653885021568312297e+00
3.441199119911991147e+03,1.654021756666081089e+00
3.441584158415841557e+03,1.654158371758392088e+00
3.441969196919691967e+03,1.654294986850703308e+00
3.442354235423542377e+03,1.654431695583459927e+00
3.442739273927392787e+03,1.654568412458863991e+00
3.443124312431243197e+03,1.654705001140517329e+00
3.443509350935093607e+03,1.654841320955631412e+00
3.443894389438944017e+03,1.654977640770745495e+00
3.444279427942794428e+03,1.655113478440308539e+00
3.444664466446644838e+03,1.655249133881631529e+00
3.445049504950495248e+03,1.655384802331965499e+00
3.445434543454345658e+03,1.655520558954482802e+00
3.445819581958195613e+03,1.655656315577000104e+00
3.446204620462046023e+03,1.655791358358624121e+00
3.446589658965896433e+03,1.655925771732148721e+00
3.446974697469746843e+03,1.656060185105673099e+00
3.447359735973597253e+03,1.656193953142854669e+00
3.447744774477447663e+03,1.656327675789406317e+00
3.448129812981298073e+03,1.656461432100109654e+00
3.448514851485148483e+03,1.656595254597958089e+00
3.448899889988998893e+03,1.656729077095806746e+00
3.449284928492849303e+03,1.656860757541563034e+00
3.449669966996699713e+03,1.656991685374422207e+00
3.450055005500550124e+03,1.657122578546397884e+00
3.450440044004400534e+03,1.657253263753072359e+00
3.450825082508250944e+03,1.657383948959746833e+00
3.451210121012101354e+03,1.657514334990595861e+00
3.451595159515951764e+03,1.657644471969317745e+00
3.451980198019802174e+03,1.657774608948039852e+00
3.452365236523652584e+03,1.657901355627905637e+00
3.452750275027502539e+03,1.658027918496387754e+00
3.453135313531352949e+03,1.658154514638762178e+00
3.453520352035203359e+03,1.658281172189051356e+00
3.453905390539053769e+03,1.658407829739340533e+00
3.454290429042904179e+03,1.658532999678876019e+00
3.454675467546754589e+03,1.658657685017938421e+00
3.455060506050604999e+03,1.658781900388889063e+00
3.455445544554455410e+03,1.658903595021784527e+00
3.455830583058305820e+03,1.659025289654679769e+00
