Wavelength(nm),Flux
7287.186962760481,1716820.6787146465
7286.805426119455,1682689.681145244
7286.422315466373,1684101.6403316322
7286.037630801238,1752713.150795882
7285.651372124049,1742954.681389771
7285.263539434806,1711589.9929540264
7284.874132733509,1641369.866011566
7284.483152020158,1672894.7379517208
7284.090597294753,1683198.269561107
7283.696468557294,2062420.0821909306
7283.300765807781,1650181.9583178353
7282.9034890462135,1600977.4646725538
7282.504638272593,1597355.6137823078
7282.1042134869185,1576055.745965828
7281.7022146891895,1638809.7798520688
7281.298641879405,1587098.417446327
7280.8934950575685,1587861.1707326141
7280.486774223678,1601207.4008444354
7280.078479377734,1578044.913820902
7279.668610519734,1565355.0187469618
7279.257167649681,1575917.5759838584
7278.844150767574,1565942.9343352031
7278.429559873413,1537177.4184086442
7278.013394967198,1568257.593402243
7277.595656048929,1546213.5014053849
7277.1763431186055,1493943.0960308956
7276.755456176229,1538470.8058992836
7276.332995221798,1554647.0503867504
7275.908960255313,1445246.6148992472
7275.483351276774,1463019.4354485099
7275.056168286182,1416943.839481081
7274.627411283534,1458420.683189623
7274.197080268833,1456608.6228065337
7273.765175242079,1493258.5709248525
7273.3316962032695,1438252.2767904226
7272.896643152407,1437372.6225750616
7272.46001608949,1444001.6243196675
7272.021815014518,1404627.216704658
7271.5820399274935,1412106.1696043666
7271.140690828414,1404802.5129252058
7270.697767717281,1390379.6364092056
7270.253270594095,1357144.926197215
7269.807199458853,1365347.4846298045
7269.359554311559,1517500.6283876284
7268.910335152209,1372530.3462591271
7268.4595419808065,1312114.661105271
7268.00717479735,1347936.317322631
7267.553233601839,1309486.8162801946
7267.097718394273,1362465.4841874423
7266.640629174654,1269485.2073841388
7266.181965942981,1409119.9090144292
7265.7217286992545,1284942.497890128
7265.259917443474,1299231.5218490819
7264.796532175638,1269399.9732127546
7264.33157289575,1286680.2287763357
7263.8650396038065,1241869.387160688
7263.39693229981,1255298.4910568243
7262.927250983758,1247734.5125104447
7262.455995655654,1243860.4076032816
7261.983166315495,1299279.7661363382
7261.508762963282,1194269.3617077307
7261.0327855990145,1179774.4542350983
7260.555234222694,1226428.792700022
7260.076108834319,1258015.761246237
7259.595409433889,1138229.2224477031
7259.113136021407,1139358.9286577646
7258.629288596869,1157757.2895002684
7258.143867160278,1121155.6034828422
7257.656871711633,1176069.0310845068
7257.168302250934,1209097.5776420122
7256.678158778182,1093985.9569875638
7256.186441293375,1232369.6072615797
7255.693149796513,1127722.6039865145
7255.198284287599,1048052.3712787208
7254.701844766629,1084553.4279858996
7254.203831233607,1040187.9374030764
7253.704243688529,1048755.875771268
7253.203082131397,1005724.3647060975
7252.700346562214,1008513.4134953173
7252.196036980974,1001999.0706966423
7251.690153387682,1019296.3491175782
7251.182695782335,976012.5872036375
7250.673664164933,1055134.0899241834
7250.163058535478,967962.8803979842
7249.650878893969,966252.1673527724
7249.137125240406,953044.3624776644
