Image,H-alpha,H-beta,Optimal Shift
0,6522.322786123413,4963.828757203893,-41.765766525237304
1,6526.569773804928,4971.711712730147,-48.10359598636842
2,6525.155685256477,4976.959146354047,-50.515482787138005
3,6526.569773804928,4974.336216548125,-49.60939790663368
4,6527.982288341325,4971.711712730147,-48.701884660730734
5,6527.982288341325,4979.580502147917,-53.223259264657315
6,6529.393228865667,4979.580502147917,-53.82186571522124
7,6533.616606366372,4987.435125457199,-60.13302690990712
8,6536.424321306573,4990.050185202853,-62.831755111967894
9,6532.210387878193,4982.200283929732,-56.52964219274057
10,6536.424321306573,4990.050185202853,-62.831755111967894
11,6536.424321306573,4992.663670936452,-64.33104920066634
12,6532.210387878193,4987.435125457199,-59.53473823554475
13,6532.210387878193,4987.435125457199,-59.53616660094339
14,6527.982288341325,4976.959146354047,-51.71491686665993
15,6527.982288341325,4971.711712730147,-48.701884660730734
16,6520.903975538799,4961.197957337699,-39.652309878949545
17,6525.155685256477,4969.085634900117,-45.99410818321143
18,6519.483590942133,4950.659017752388,-32.99366861622365
19,6519.483590942133,4958.565583459453,-37.5363142780662
20,6520.903975538799,4961.197957337699,-39.651199289752554
21,6522.322786123413,4961.197957337699,-40.25456739644264
22,6525.155685256477,4961.197957337699,-41.456859729898305
23,6523.740022695973,4971.711712730147,-46.89622422058499
24,6526.569773804928,4974.336216548125,-49.60939790663368
25,6525.155685256477,4974.336216548125,-49.01110923227138
26,6532.210387878193,4982.200283929732,-56.52964219274057
27,6529.393228865667,4974.336216548125,-50.811372463887736
28,6526.569773804928,4971.711712730147,-48.09962714323763
29,6526.569773804928,4969.085634900117,-46.592396857573746
30,6527.982288341325,4976.959146354047,-51.71491686665993
31,6532.210387878193,4984.818491699492,-58.028936315279495
32,6542.020863042325,4992.663670936452,-66.71372735595972
33,6536.424321306573,4992.663670936452,-64.33215987164431
34,6536.424321306573,4987.435125457199,-61.329922034833324
35,6530.802595377956,4982.200283929732,-55.92992515297964
36,6536.424321306573,4992.663670936452,-64.33104920066634
37,6540.624088626468,4997.885920367487,-69.11656583897027
38,6547.592220585212,5008.311531084912,-78.07623802418352
39,6547.592220585212,5013.5148923713,-81.05894867140671
40,6551.754211615812,5013.5148923713,-82.83286015306416
41,6547.592220585212,5013.5148923713,-81.06402818833553
42,6539.225740198557,4997.885920367487,-68.52621482266912
43,6539.225740198557,4995.275582657997,-67.02295187391968
44,6539.225740198557,4992.663670936452,-65.52254710014302
45,6536.424321306573,4987.435125457199,-61.325953191702546
46,6530.802595377956,4987.435125457199,-58.93644956118248
47,6533.616606366372,4987.435125457199,-60.13302690990712
48,6536.424321306573,4987.435125457199,-61.329922034833324
49,6533.616606366372,4976.959146354047,-54.11632702657233
50,6532.210387878193,4976.959146354047,-53.518038352210056
51,6526.569773804928,4971.711712730147,-48.10359598636842
52,6527.982288341325,4976.959146354047,-51.71491686665993
53,6527.982288341325,4974.336216548125,-50.20768658099603
54,6525.155685256477,4966.457983058032,-44.47894021128599
55,6530.802595377956,4974.336216548125,-51.40855054905301
56,6525.155685256477,4969.085634900117,-45.99410818321143
57,6525.155685256477,4971.711712730147,-47.49991010347672
58,6529.393228865667,4974.336216548125,-50.811372463887736
59,6527.982288341325,4974.336216548125,-50.21165542412681
60,6535.0212508425,4990.050185202853,-62.232038072206876
61,6532.210387878193,4976.959146354047,-53.518038352210056
62,6535.0212508425,4987.435125457199,-60.73163336047106
63,6533.616606366372,4979.580502147917,-55.61816010370689
64,6535.0212508425,4987.435125457199,-60.732743949668034
65,6540.624088626468,4992.663670936452,-66.11940749370777
66,6543.416063446128,4997.885920367487,-70.30663542380893
67,6544.809689837876,4997.885920367487,-70.89984461508291
68,6550.368455284333,5018.711957609472,-85.23029973453477
69,6557.281496821188,5023.902726799428,-91.15460893722918
70,6555.902036537926,5023.902726799428,-90.56679733369191
71,6555.902036537926,5023.902726799428,-90.5628284877411
72,6553.138393935237,5023.902726799428,-89.39117412661727
73,6557.281496821188,5023.902726799428,-91.15460893722918
74,6557.281496821188,5034.265377034692,-97.10923748208242
75,6569.625808828125,5042.020837584573,-106.8151921010314
76,6566.893646466517,5039.437258079999,-104.1655157036739
77,6566.893646466517,5044.602843077092,-107.13489306351927
78,6570.989528990848,5039.437258079999,-105.90513899722158
79,6566.893646466517,5039.437258079999,-104.1655157036739
80,6569.625808828125,5044.602843077092,-108.30003959954824
81,6568.260514653348,5047.183274557557,-109.19818616550563
82,6579.138795714052,5070.336327339312,-127.1284237170477
83,6575.0712454066925,5060.061821779072,-119.49877940891551
84,6568.260514653348,5039.437258079999,-104.74824779028236
85,6576.4286695212,5060.061821779072,-120.0732561664342
86,6575.0712454066925,5054.915124926628,-116.5333693363802
87,6575.0712454066925,5057.489260358876,-118.01536021856481
88,6576.4286695212,5060.061821779072,-120.0732561664342
89,6577.784519623652,5062.632809187213,-122.12750090554097
90,6579.138795714052,5057.489260358876,-119.75101622480241
91,6576.4286695212,5060.061821779072,-120.0732561664342
92,6572.351675141517,5052.3394154823245,-113.89925068563781
93,6568.260514653348,5039.437258079999,-104.74824779028236
94,6568.260514653348,5049.762132025968,-110.67763650990557
95,6569.625808828125,5049.762132025968,-111.26005095932587
96,6573.712247280132,5049.762132025968,-113.00110334035995
97,6580.491497792396,5067.770061967332,-126.23138782206829
98,6581.842625858688,5067.770061967332,-126.80729444639385
99,6581.842625858688,5072.901018699236,-129.75428943870227
